"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","30-May-2019","       1780.85","       1788.00","       1792.00","       1781.00","       1784.25","       1784.25","       1786.56","    1038433","          1855222971.45","      44282","     615626","         59.28"
"HINDUNILVR","EQ","31-May-2019","       1784.25","       1786.70","       1802.65","       1764.00","       1791.60","       1788.50","       1784.89","    1329926","          2373768970.90","      64911","     878589","         66.06"
"HINDUNILVR","EQ","03-Jun-2019","       1788.50","       1794.00","       1845.00","       1792.00","       1838.00","       1839.70","       1817.64","    1415582","          2573023731.25","      62427","     758644","         53.59"
"HINDUNILVR","EQ","04-Jun-2019","       1839.70","       1831.00","       1845.50","       1807.10","       1821.15","       1815.60","       1817.55","     842283","          1530887456.65","      67438","     513822","         61.00"
"HINDUNILVR","EQ","06-Jun-2019","       1815.60","       1822.15","       1849.90","       1812.10","       1833.00","       1837.75","       1838.66","    1626007","          2989675803.65","      98602","    1043331","         64.17"
"HINDUNILVR","EQ","07-Jun-2019","       1837.75","       1833.00","       1844.75","       1815.00","       1831.10","       1830.75","       1830.55","     698970","          1279497805.70","      41894","     362156","         51.81"
"HINDUNILVR","EQ","10-Jun-2019","       1830.75","       1839.80","       1864.95","       1835.00","       1848.00","       1852.50","       1852.70","     814577","          1509168879.05","      47767","     391195","         48.02"
"HINDUNILVR","EQ","11-Jun-2019","       1852.50","       1855.10","       1856.80","       1832.10","       1838.00","       1839.80","       1842.68","     591026","          1089070089.10","      53078","     300596","         50.86"
"HINDUNILVR","EQ","12-Jun-2019","       1839.80","       1838.00","       1853.25","       1822.05","       1847.15","       1847.10","       1837.61","     709916","          1304552226.35","      64030","     427383","         60.20"
"HINDUNILVR","EQ","13-Jun-2019","       1847.10","       1847.05","       1848.70","       1823.05","       1841.85","       1845.50","       1836.77","     697830","          1281753851.75","      43874","     391351","         56.08"
"HINDUNILVR","EQ","14-Jun-2019","       1845.50","       1843.00","       1853.25","       1816.35","       1821.50","       1822.95","       1831.03","     632971","          1158988933.10","      54539","     357167","         56.43"
"HINDUNILVR","EQ","17-Jun-2019","       1822.95","       1831.90","       1831.90","       1804.60","       1817.05","       1818.05","       1816.94","     669276","          1216032591.60","      45903","     386052","         53.54"
"HINDUNILVR","EQ","18-Jun-2019","       1818.05","       1810.50","       1818.15","       1793.00","       1813.50","       1809.60","       1802.57","     995083","          1793705290.25","      81370","     647042","         62.51"
"HINDUNILVR","EQ","19-Jun-2019","       1809.60","       1816.80","       1824.95","       1802.00","       1814.05","       1811.70","       1813.27","     600455","          1088788411.75","      55749","     339723","         56.58"
"HINDUNILVR","EQ","20-Jun-2019","       1811.70","       1799.00","       1809.45","       1791.50","       1808.45","       1805.05","       1801.08","     603514","          1086977767.95","      53127","     379214","         62.83"
"HINDUNILVR","EQ","21-Jun-2019","       1805.05","       1810.00","       1812.00","       1760.30","       1767.95","       1766.65","       1774.80","    2512357","          4458935934.90","      97669","    2080761","         82.82"
"HINDUNILVR","EQ","24-Jun-2019","       1766.65","       1769.00","       1777.60","       1756.70","       1769.85","       1764.45","       1764.09","     762144","          1344492058.55","      41682","     495771","         65.05"
"HINDUNILVR","EQ","25-Jun-2019","       1764.45","       1769.70","       1769.70","       1745.00","       1754.80","       1756.45","       1754.21","     941132","          1650939752.95","      68216","     639420","         67.94"
"HINDUNILVR","EQ","26-Jun-2019","       1756.45","       1753.00","       1765.00","       1746.40","       1759.00","       1761.00","       1756.61","    1075017","          1888389515.70","      58909","     740397","         68.87"
"HINDUNILVR","EQ","27-Jun-2019","       1761.00","       1768.00","       1787.55","       1760.25","       1773.65","       1774.40","       1777.67","    1235049","          2195509462.55","      63774","     753984","         61.05"
"HINDUNILVR","EQ","28-Jun-2019","       1774.40","       1777.25","       1790.65","       1762.75","       1788.90","       1787.60","       1782.40","    1008229","          1797064823.65","      55478","     615470","         61.04"
"HINDUNILVR","EQ","01-Jul-2019","       1787.60","       1798.90","       1798.90","       1772.65","       1778.70","       1780.20","       1783.43","     553283","           986743611.30","      36043","     288731","         52.19"
"HINDUNILVR","EQ","02-Jul-2019","       1780.20","       1784.00","       1798.00","       1770.00","       1793.00","       1789.20","       1784.46","     763979","          1363293097.05","      38538","     488009","         63.88"
"HINDUNILVR","EQ","03-Jul-2019","       1789.20","       1793.00","       1796.85","       1776.90","       1785.00","       1784.70","       1785.70","     815571","          1456362262.85","      41173","     573133","         70.27"
"HINDUNILVR","EQ","04-Jul-2019","       1784.70","       1780.55","       1798.70","       1780.55","       1794.00","       1793.60","       1788.87","     646633","          1156741683.60","      31069","     378684","         58.56"
"HINDUNILVR","EQ","05-Jul-2019","       1793.60","       1800.00","       1816.00","       1786.00","       1787.85","       1791.40","       1804.50","    1098940","          1983042406.70","      53824","     490898","         44.67"
"HINDUNILVR","EQ","08-Jul-2019","       1791.40","       1784.75","       1784.75","       1748.70","       1751.00","       1753.55","       1758.08","     776755","          1365600403.55","      78700","     429708","         55.32"
"HINDUNILVR","EQ","09-Jul-2019","       1753.55","       1752.00","       1756.00","       1724.10","       1740.00","       1740.25","       1741.37","    1462668","          2547045385.90","      69954","    1022972","         69.94"
"HINDUNILVR","EQ","10-Jul-2019","       1740.25","       1739.00","       1754.90","       1703.10","       1707.00","       1718.60","       1733.53","     648476","          1124152482.00","      43424","     329315","         50.78"
"HINDUNILVR","EQ","11-Jul-2019","       1718.60","       1708.00","       1742.65","       1708.00","       1732.00","       1730.90","       1731.52","     813618","          1408793409.00","      48466","     427056","         52.49"
"HINDUNILVR","EQ","12-Jul-2019","       1730.90","       1726.80","       1738.25","       1708.25","       1720.00","       1713.20","       1724.02","    1107445","          1909252508.55","      69310","     710094","         64.12"
"HINDUNILVR","EQ","15-Jul-2019","       1713.20","       1715.00","       1724.70","       1702.00","       1716.50","       1716.95","       1715.21","     725180","          1243838737.90","      44827","     426328","         58.79"
"HINDUNILVR","EQ","16-Jul-2019","       1716.95","       1723.50","       1750.60","       1712.75","       1740.00","       1741.30","       1740.12","    1259786","          2192177309.05","      54003","     874729","         69.43"
"HINDUNILVR","EQ","17-Jul-2019","       1741.30","       1740.00","       1765.55","       1725.85","       1760.40","       1760.70","       1751.21","    1278232","          2238454115.70","      56615","     637899","         49.90"
"HINDUNILVR","EQ","18-Jul-2019","       1760.70","       1766.00","       1766.00","       1709.00","       1737.50","       1739.15","       1735.42","    1006299","          1746352397.30","      58543","     508603","         50.54"
"HINDUNILVR","EQ","19-Jul-2019","       1739.15","       1748.00","       1761.95","       1709.15","       1730.00","       1720.40","       1733.33","     983217","          1704240250.35","      45539","     478086","         48.62"
"HINDUNILVR","EQ","22-Jul-2019","       1720.40","       1722.30","       1724.70","       1659.05","       1684.70","       1680.70","       1684.64","    1729722","          2913954901.95","      83164","    1017336","         58.82"
"HINDUNILVR","EQ","23-Jul-2019","       1680.70","       1683.00","       1701.55","       1667.30","       1690.05","       1693.35","       1688.70","    1556691","          2628780218.65","     111421","     795192","         51.08"
"HINDUNILVR","EQ","24-Jul-2019","       1693.35","       1685.00","       1732.00","       1678.60","       1730.40","       1728.65","       1708.56","    2621818","          4479538178.25","     105976","    1165867","         44.47"
"HINDUNILVR","EQ","25-Jul-2019","       1728.65","       1730.00","       1749.90","       1728.00","       1733.00","       1736.65","       1738.55","    1297267","          2255357936.90","      80858","     587926","         45.32"
"HINDUNILVR","EQ","26-Jul-2019","       1736.65","       1731.10","       1742.00","       1719.30","       1730.00","       1730.65","       1729.53","     771408","          1334170034.15","      48951","     400687","         51.94"
"HINDUNILVR","EQ","29-Jul-2019","       1730.65","       1729.00","       1739.80","       1700.00","       1709.05","       1713.30","       1715.42","     688427","          1180942937.50","      32846","     348731","         50.66"
"HINDUNILVR","EQ","30-Jul-2019","       1713.30","       1715.00","       1734.35","       1705.00","       1718.95","       1719.90","       1719.38","     747251","          1284807026.80","      43499","     400411","         53.58"
"HINDUNILVR","EQ","31-Jul-2019","       1719.90","       1719.00","       1753.05","       1701.05","       1721.90","       1726.65","       1730.76","    1371879","          2374397891.35","      67640","     794105","         57.88"
"HINDUNILVR","EQ","01-Aug-2019","       1726.65","       1721.00","       1744.70","       1710.00","       1731.30","       1731.30","       1730.70","    1072498","          1856171997.05","      94566","     597754","         55.73"
"HINDUNILVR","EQ","02-Aug-2019","       1731.30","       1722.20","       1742.00","       1706.00","       1734.05","       1737.45","       1729.04","    1051529","          1818140804.05","      76975","     591959","         56.30"
"HINDUNILVR","EQ","05-Aug-2019","       1737.45","       1727.90","       1753.45","       1707.70","       1741.00","       1741.20","       1739.21","    1539739","          2677929233.40","      76098","     978057","         63.52"
"HINDUNILVR","EQ","06-Aug-2019","       1741.20","       1731.50","       1760.00","       1727.55","       1747.10","       1744.10","       1745.62","    1409075","          2459715203.20","     111633","     861549","         61.14"
"HINDUNILVR","EQ","07-Aug-2019","       1744.10","       1744.10","       1786.90","       1740.00","       1777.00","       1777.25","       1775.25","    2507314","          4451113189.30","     105423","    1753718","         69.94"
"HINDUNILVR","EQ","08-Aug-2019","       1777.25","       1780.50","       1807.00","       1780.50","       1802.30","       1803.10","       1795.80","    1761732","          3163716229.20","      61299","     947006","         53.75"
"HINDUNILVR","EQ","09-Aug-2019","       1803.10","       1805.00","       1846.65","       1800.90","       1838.00","       1841.35","       1829.51","    1730596","          3166150854.80","      90550","    1053616","         60.88"
"HINDUNILVR","EQ","13-Aug-2019","       1841.35","       1838.00","       1838.00","       1802.15","       1826.45","       1824.75","       1824.91","    1907934","          3481804382.80","     100682","    1323907","         69.39"
"HINDUNILVR","EQ","14-Aug-2019","       1824.75","       1826.00","       1854.15","       1808.70","       1828.00","       1839.05","       1833.58","    1910376","          3502825042.30","     132846","    1216844","         63.70"
"HINDUNILVR","EQ","16-Aug-2019","       1839.05","       1838.00","       1847.55","       1816.05","       1826.75","       1828.65","       1832.30","    1468390","          2690528392.95","     112856","     881852","         60.06"
"HINDUNILVR","EQ","19-Aug-2019","       1828.65","       1830.15","       1845.00","       1811.00","       1823.00","       1820.90","       1827.10","     905742","          1654882700.55","      60068","     484138","         53.45"
"HINDUNILVR","EQ","20-Aug-2019","       1820.90","       1822.00","       1849.70","       1813.00","       1845.95","       1843.40","       1836.93","    1231835","          2262800536.10","      53056","     721341","         58.56"
"HINDUNILVR","EQ","21-Aug-2019","       1843.40","       1842.90","       1855.75","       1836.00","       1853.00","       1850.00","       1850.21","    1933855","          3578046466.50","      48381","    1330758","         68.81"
"HINDUNILVR","EQ","22-Aug-2019","       1850.00","       1850.45","       1880.00","       1841.90","       1869.10","       1872.10","       1871.88","    2543055","          4760287958.20","      80885","    1521568","         59.83"
"HINDUNILVR","EQ","23-Aug-2019","       1872.10","       1874.75","       1877.35","       1850.65","       1865.50","       1860.00","       1862.24","    1278546","          2380962418.65","      78542","     645855","         50.51"
"HINDUNILVR","EQ","26-Aug-2019","       1860.00","       1867.50","       1883.70","       1850.00","       1882.15","       1876.55","       1867.97","     855849","          1598696754.25","      35896","     352949","         41.24"
"HINDUNILVR","EQ","27-Aug-2019","       1876.55","       1884.00","       1889.00","       1841.95","       1865.00","       1861.40","       1862.39","    2510386","          4675325605.50","     145911","    1732164","         69.00"
"HINDUNILVR","EQ","28-Aug-2019","       1861.40","       1835.00","       1848.40","       1812.50","       1827.00","       1828.10","       1828.31","    2519453","          4606333035.90","      86380","    1204383","         47.80"
"HINDUNILVR","EQ","29-Aug-2019","       1828.10","       1817.00","       1843.65","       1814.10","       1836.00","       1832.95","       1831.49","    2837369","          5196611114.15","     101086","    1758005","         61.96"
"HINDUNILVR","EQ","30-Aug-2019","       1832.95","       1834.20","       1886.40","       1827.15","       1882.45","       1881.90","       1859.34","    1766858","          3285185982.35","      92684","    1061394","         60.07"
"HINDUNILVR","EQ","03-Sep-2019","       1881.90","       1863.00","       1875.80","       1835.00","       1843.05","       1841.85","       1852.01","    1195923","          2214864325.90","      90910","     778058","         65.06"
"HINDUNILVR","EQ","04-Sep-2019","       1841.85","       1847.00","       1859.05","       1817.30","       1847.95","       1846.60","       1836.71","    1147464","          2107558412.25","      77014","     597392","         52.06"
"HINDUNILVR","EQ","05-Sep-2019","       1846.60","       1842.00","       1843.95","       1818.15","       1830.00","       1829.75","       1827.43","    1059065","          1935369582.65","      64519","     490382","         46.30"
"HINDUNILVR","EQ","06-Sep-2019","       1829.75","       1831.00","       1843.35","       1814.20","       1815.00","       1819.15","       1824.47","     631575","          1152289578.80","      45814","     289701","         45.87"
"HINDUNILVR","EQ","09-Sep-2019","       1819.15","       1819.00","       1858.00","       1815.40","       1835.00","       1834.05","       1843.73","    1175372","          2167067578.25","      47835","     590883","         50.27"
"HINDUNILVR","EQ","11-Sep-2019","       1834.05","       1831.00","       1847.55","       1817.30","       1823.50","       1824.30","       1830.91","    1055039","          1931677084.25","      52095","     649711","         61.58"
"HINDUNILVR","EQ","12-Sep-2019","       1824.30","       1826.00","       1833.60","       1798.50","       1803.50","       1805.40","       1818.67","     862635","          1568850053.50","      36180","     406739","         47.15"
