"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOMDYEING","EQ","08-Aug-2017","         82.90","         83.00","         83.00","         80.00","         80.40","         80.30","         81.11","     897409","            72788635.90","       5352","     387083","         43.13"
"BOMDYEING","EQ","09-Aug-2017","         80.30","         79.50","         80.35","         77.80","         78.10","         78.10","         78.98","     731355","            57764291.35","       7307","     243918","         33.35"
"BOMDYEING","EQ","10-Aug-2017","         78.10","         77.80","         78.90","         65.60","         71.60","         69.55","         73.18","    1552350","           113604162.25","       9565","     599878","         38.64"
"BOMDYEING","EQ","11-Aug-2017","         69.55","         69.50","         72.70","         65.55","         70.85","         70.60","         69.99","    1833281","           128308560.65","      11845","     521808","         28.46"
"BOMDYEING","EQ","14-Aug-2017","         70.60","         72.45","         75.75","         71.60","         75.50","         74.85","         73.60","    1125895","            82866280.45","       7954","     417965","         37.12"
"BOMDYEING","EQ","16-Aug-2017","         74.85","         75.75","         76.50","         74.10","         75.60","         76.00","         75.52","     841476","            63551069.10","       6112","     225517","         26.80"
"BOMDYEING","EQ","17-Aug-2017","         76.00","         76.80","         80.30","         75.50","         78.40","         78.80","         78.21","    1523277","           119132412.25","       9643","     396746","         26.05"
"BOMDYEING","EQ","18-Aug-2017","         78.80","         77.90","         78.85","         76.30","         77.65","         77.85","         77.75","    1530307","           118985921.75","       9654","     350110","         22.88"
"BOMDYEING","EQ","21-Aug-2017","         77.85","         77.65","         78.20","         75.50","         75.75","         75.85","         76.61","     631357","            48365977.85","       5894","     203418","         32.22"
"BOMDYEING","EQ","22-Aug-2017","         75.85","         76.25","         76.85","         73.30","         74.65","         74.00","         74.76","     562735","            42071147.10","       4564","     176245","         31.32"
"BOMDYEING","EQ","23-Aug-2017","         74.00","         74.75","         79.70","         74.10","         79.20","         79.30","         78.32","    2964994","           232225140.85","      15629","     800037","         26.98"
"BOMDYEING","EQ","24-Aug-2017","         79.30","         79.80","         85.90","         79.50","         85.10","         85.05","         83.52","    5142230","           429453764.90","      27258","    1330536","         25.87"
"BOMDYEING","EQ","28-Aug-2017","         85.05","         85.90","         94.60","         85.00","         92.10","         92.60","         91.75","   12296759","          1128202805.50","      55164","    2814831","         22.89"
"BOMDYEING","EQ","29-Aug-2017","         92.60","         91.60","         97.25","         88.30","         94.00","         93.70","         93.82","   14406918","          1351637154.00","      62303","    2661893","         18.48"
"BOMDYEING","EQ","30-Aug-2017","         93.70","         94.95","        107.25","         94.50","        103.80","        104.45","        102.34","   27471624","          2811511399.55","     103748","    4661765","         16.97"
"BOMDYEING","EQ","31-Aug-2017","        104.45","        104.00","        114.85","        103.25","        114.85","        114.85","        110.36","   19310367","          2131100951.70","      77804","    5011020","         25.95"
